event_code,lot_number,plate_raw,hammer_price_gbp,predicted_price_gbp,valuation_low_gbp,valuation_central_gbp,valuation_high_gbp,predicted_value_tier,collectibility_score,collectibility_segment,premium_collectibility_group,recommended_sales_path,sales_path_reason,recommended_fixed_price_gbp,recommended_reserve_price_gbp,specialist_review_required,specialist_review_reason,commercial_opportunity_flag
B278,322,C41 BNT,490.0,769.1605505245844,620.0,770.0,960.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,850.0,,0,standard_automated_path,material_valuation_gap_review
B278,323,177 CBR,1110.0,2012.980806741939,1610.0,2010.0,2520.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2210.0,,0,standard_automated_path,material_valuation_gap_review
B278,324,CBU 66E,310.0,1255.0468051864782,1000.0,1260.0,1570.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1390.0,,0,standard_automated_path,material_valuation_gap_review
B278,325,1999 CC,2710.0,3599.9981919213574,2880.0,3600.0,4500.0,Upper Core,13,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2520.0,0,standard_automated_path,standard_monitoring
B278,326,C63 CAL,1330.0,539.3485613800226,430.0,540.0,670.0,Entry,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,590.0,,0,standard_automated_path,standard_monitoring
B278,327,CCO 5H,760.0,2217.1883849182595,1770.0,2220.0,2770.0,Core,37,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2440.0,,0,standard_automated_path,material_valuation_gap_review
B278,328,9 CDF,6410.0,5604.387147850363,4480.0,5600.0,7010.0,Premium,62,Trophy Candidate,Premium + Collectible,Specialist Review,very_high_structural_collectibility,,,1,very_high_structural_collectibility,specialist_assessment
B278,329,555 CDN,1330.0,2121.538934029201,1700.0,2120.0,2650.0,Core,23,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2330.0,,0,standard_automated_path,material_valuation_gap_review
B278,330,CED 53R,610.0,1153.5851392486095,920.0,1150.0,1440.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1260.0,,0,standard_automated_path,material_valuation_gap_review
B278,331,C78 ELL,1010.0,735.162399018451,590.0,740.0,920.0,Entry,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,810.0,,0,standard_automated_path,standard_monitoring
B278,332,CEO 6A,6510.0,1813.1192419360625,1450.0,1810.0,2270.0,Core,35,Collectible,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,333,CES 64L,420.0,1182.7674288703363,950.0,1180.0,1480.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1300.0,,0,standard_automated_path,material_valuation_gap_review
B278,334,3 CEX,3000.0,5432.516074329996,4350.0,5430.0,6790.0,Premium,57,High Collectible,Collectible Potential,Specialist Review,structural_collectibility_above_observed_value,,,1,structural_collectibility_above_observed_value,collectible_value_review
B278,335,C63 FLC,1010.0,539.3485613800226,430.0,540.0,670.0,Entry,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,590.0,,0,standard_automated_path,standard_monitoring
B278,336,C411 FTC,210.0,814.2217407373042,650.0,810.0,1020.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,890.0,,0,standard_automated_path,material_valuation_gap_review
B278,337,CFZ 95,1300.0,1732.4087868768738,1390.0,1730.0,2170.0,Core,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1900.0,,0,standard_automated_path,standard_monitoring
B278,338,C146 GAN,200.0,667.7002555338216,530.0,670.0,830.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,740.0,,0,standard_automated_path,material_valuation_gap_review
B278,339,CGV 38X,300.0,1114.355859868263,890.0,1110.0,1390.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1220.0,,0,standard_automated_path,material_valuation_gap_review
B278,340,CHA 555A,1960.0,1167.2084244583466,930.0,1170.0,1460.0,Core,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1290.0,,0,standard_automated_path,standard_monitoring
B278,341,CHA 76N,1010.0,1053.3703545509102,840.0,1050.0,1320.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1160.0,,0,standard_automated_path,standard_monitoring
B278,342,CHA 10S,6160.0,985.9338149215528,790.0,990.0,1230.0,Entry,25,Distinctive,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,343,CHE 374N,1850.0,872.682452859968,700.0,870.0,1090.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,960.0,,0,standard_automated_path,standard_monitoring
B278,344,5 CHG,5540.0,5196.119522148413,4160.0,5200.0,6500.0,Premium,57,High Collectible,Collectible Potential,Specialist Review,structural_collectibility_above_observed_value,,,1,structural_collectibility_above_observed_value,specialist_assessment
B278,345,CHM 850G,250.0,896.0729323738083,720.0,900.0,1120.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,990.0,,0,standard_automated_path,material_valuation_gap_review
B278,346,CHN 4V,3710.0,1823.295655001023,1460.0,1820.0,2280.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2000.0,,0,standard_automated_path,standard_monitoring
B278,347,CHO 993R,1110.0,872.712788451337,700.0,870.0,1090.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,960.0,,0,standard_automated_path,standard_monitoring
B278,348,C818 HRC,210.0,668.6106337999108,530.0,670.0,840.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,740.0,,0,standard_automated_path,material_valuation_gap_review
B278,349,CHS 481R,4000.0,861.040142788737,690.0,860.0,1080.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,950.0,,0,standard_automated_path,standard_monitoring
B278,350,CIG 16,1010.0,2128.263535668328,1700.0,2130.0,2660.0,Core,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2340.0,,0,standard_automated_path,material_valuation_gap_review
B278,351,14 CJA,3060.0,3121.3585056277134,2500.0,3120.0,3900.0,Upper Core,25,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2180.0,0,standard_automated_path,standard_monitoring
B278,352,C63 JAY,3010.0,592.3896812343219,470.0,590.0,740.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,650.0,,0,standard_automated_path,standard_monitoring
B278,353,C63 JFP,460.0,592.3896812343219,470.0,590.0,740.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,650.0,,0,standard_automated_path,standard_monitoring
B278,354,21 CJL,3030.0,3044.40365431529,2440.0,3040.0,3810.0,Upper Core,25,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2130.0,0,standard_automated_path,standard_monitoring
B278,355,22 CJN,2910.0,2939.044616477199,2350.0,2940.0,3670.0,Upper Core,43,Collectible,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2060.0,0,standard_automated_path,standard_monitoring
B278,356,C63 JNU,510.0,592.3896812343219,470.0,590.0,740.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,650.0,,0,standard_automated_path,standard_monitoring
B278,357,151 CK,6010.0,5029.063116887199,4020.0,5030.0,6290.0,Premium,18,Distinctive,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,358,C114 KRA,540.0,731.2751371598468,590.0,730.0,910.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,800.0,,0,standard_automated_path,standard_monitoring
B278,359,CL19 ARK,2010.0,880.2082349647578,700.0,880.0,1100.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,970.0,,0,standard_automated_path,standard_monitoring
B278,360,C30 LBK,200.0,630.7237955420482,500.0,630.0,790.0,Entry,20,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,690.0,,0,standard_automated_path,material_valuation_gap_review
B278,361,C457 LEP,1010.0,647.1778392821543,520.0,650.0,810.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,720.0,,0,standard_automated_path,standard_monitoring
B278,362,C244 LEX,500.0,577.5971744682213,460.0,580.0,720.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,640.0,,0,standard_automated_path,standard_monitoring
B278,363,CLH 11A,730.0,1434.782915493227,1150.0,1430.0,1790.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1570.0,,0,standard_automated_path,material_valuation_gap_review
B278,364,C41 LME,2500.0,769.1605505245844,620.0,770.0,960.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,850.0,,0,standard_automated_path,standard_monitoring
